date,version,stock_code,stock_name,minute,open,high,low,close,volume,tick_count,current_state,running_high,pullback_pct,raw_pullback_low,base_duration,base_high,base_low,base_range_pct,support_retest_count,minute_aggregation_delay_ms,candidate_source,candidate_start_time,base_signal_time,first75_signal_time,parent_trade_ids,support_episode_id,peak_time,peak_price,pullback_start_time,pullback_depth_pct,support_low_time,support_low_price,support_anchor_low,support_candidate_time,support_confirm_time,support_elapsed_min,rebound_from_low_pct,higher_low,prior_5m_high,reclaim_threshold_price,reclaim_signal_time,reclaim_volume_ratio,signal_time,signal_detected_time,signal_price,fill_time,fill_price,signal_to_fill_sec,signal_to_fill_slippage_pct,rule_version,data_status
2026-09-22,v2.2.0,052690,한전기술,2026-09-22 17:24:00.000,135600.0,135700.0,135600.0,135600.0,1439.0,49,PULLBACK_BASE,143900.0,-5.767894371091032,135600.0,77,137800.0,135600.0,1.6224188790560534,3,661.723,BASE,2026-09-22 12:49:13.503,2026-09-22 12:49:13.503,,20260922_052690_BASE_E002_124913536314,2026-09-22:052690:1,2026-09-22 13:33:00.000,143900.0,2026-09-22 13:07:00.000,-5.767894371091032,2026-09-22 16:02:00.000,135600.0,135600.0,2026-09-22 16:06:00.000,2026-09-22 16:08:00.000,82,0.0,False,136000.0,136135.99999999997,2026-09-22 16:37:00.000,1.1290702236171049,2026-09-22 17:25:00.000,2026-09-22 17:25:00.661,135600.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,007810,코리아써키트,2026-09-22 17:24:00.000,65200.0,65200.0,65100.0,65100.0,1009.0,34,PULLBACK_BASE,67900.0,-4.123711340206182,63100.0,442,67900.0,64300.0,5.598755832037328,0,851.067,BASE,2026-09-22 09:02:12.885,2026-09-22 09:02:12.885,,20260922_007810_BASE_E001_090212912607|20260922_007810_BASE_E002_090627343250,2026-09-22:007810:2,2026-09-22 09:39:00.000,67900.0,2026-09-22 09:12:00.000,-7.069219440353458,2026-09-22 09:21:00.000,63100.0,63100.0,2026-09-22 15:44:00.000,2026-09-22 15:46:00.000,104,3.1695721077654504,False,65400.0,65465.399999999994,2026-09-22 16:35:00.000,1.6901172529313233,2026-09-22 17:25:00.000,2026-09-22 17:25:00.851,65100.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,066570,LG전자,2026-09-22 17:24:00.000,212500.0,213000.0,212500.0,212500.0,554.0,45,PULLBACK_BASE,221000.0,-3.8461538461538436,209000.0,442,221000.0,211500.0,4.491725768321508,1,1063.7160000000001,BOTH,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,2026-09-22 10:06:55.839,20260922_066570_BASE_E001_090156667726|20260922_066570_BASE_E002_090759037574|20260922_066570_BASE_E003_090945667738|20260922_066570_BASE_E004_091357033781|20260922_066570_BASE_E007_093506087888|20260922_066570_BASE_E008_094444211168|20260922_066570_BASE_E009_094857539323|20260922_066570_BASE_E013_100655871862|20260922_066570_PRE_HISTORY_E013_100657026228|20260922_066570_BASE_E014_104619420544|20260922_066570_PRE_HISTORY_E014_104620676567,2026-09-22:066570:1,2026-09-22 12:42:00.000,221000.0,2026-09-22 09:12:00.000,-5.429864253393668,2026-09-22 09:25:00.000,209000.0,209000.0,2026-09-22 15:44:00.000,2026-09-22 15:46:00.000,104,1.674641148325362,False,213500.0,213713.49999999997,2026-09-22 15:18:00.000,0.3475533249686324,2026-09-22 17:25:00.000,2026-09-22 17:25:01.063,212500.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,003490,대한항공,2026-09-22 17:24:00.000,31100.0,31150.0,31100.0,31100.0,3947.0,11,PULLBACK_BASE,31550.0,-1.4263074484944571,30900.0,164,31550.0,30900.0,2.1035598705501535,1,1155.458,BASE,2026-09-22 11:25:57.926,2026-09-22 11:25:57.926,,20260922_003490_BASE_E002_112557960127,2026-09-22:003490:1,2026-09-22 16:00:00.000,31550.0,2026-09-22 14:09:00.000,-2.0602218700475405,2026-09-22 14:09:00.000,30900.0,30900.0,2026-09-22 15:44:00.000,2026-09-22 15:46:00.000,104,0.6472491909385036,True,31100.0,31131.099999999995,2026-09-22 15:18:00.000,3.797017797017797,2026-09-22 17:25:00.000,2026-09-22 17:25:01.155,31100.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,012210,삼미금속,2026-09-22 17:24:00.000,13280.0,13280.0,13250.0,13270.0,2805.0,24,PULLBACK_BASE,14140.0,-6.2942008486562955,12240.0,336,14140.0,12260.0,15.334420880913546,1,1155.458,BOTH,2026-09-22 10:58:41.777,2026-09-22 10:58:41.777,2026-09-22 10:58:41.777,20260922_012210_BASE_E001_105841801100|20260922_012210_PRE_HISTORY_E001_105844146561|20260922_012210_BASE_E002_110216763184|20260922_012210_BASE_E003_111203511676|20260922_012210_PRE_HISTORY_E003_111204880040|20260922_012210_BASE_E004_112113095800|20260922_012210_BASE_E005_112846824370,2026-09-22:012210:1,2026-09-22 13:46:00.000,14140.0,2026-09-22 11:02:00.000,-13.437057991513434,2026-09-22 11:07:00.000,12240.0,12250.0,2026-09-22 15:58:00.000,2026-09-22 16:00:00.000,90,8.415032679738555,False,13300.0,13313.3,2026-09-22 17:05:00.000,0.6306205035971223,2026-09-22 17:25:00.000,2026-09-22 17:25:01.155,13270.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,003670,포스코퓨처엠,2026-09-22 17:24:00.000,187900.0,188000.0,187700.0,187800.0,581.0,56,PULLBACK_BASE,190200.0,-1.3144058885383836,187200.0,1,188000.0,187700.0,0.15982951518380695,0,1377.279,BASE,2026-09-22 17:12:55.733,2026-09-22 17:12:55.733,,20260922_003670_BASE_E006_171255756817,2026-09-22:003670:1,2026-09-22 17:13:00.000,190200.0,2026-09-22 17:17:00.000,-1.577287066246058,2026-09-22 17:17:00.000,187200.0,187200.0,2026-09-22 17:21:00.000,2026-09-22 17:24:00.000,7,0.3205128205128194,False,189700.0,189889.69999999998,,0.25673884224480775,2026-09-22 17:25:00.000,2026-09-22 17:25:01.377,187800.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,0161M0,네오사피엔스,2026-09-22 17:24:00.000,29800.0,29800.0,29700.0,29750.0,1948.0,40,PULLBACK_BASE,40500.0,-26.66666666666667,29700.0,70,30550.0,29700.0,2.8619528619528545,8,1378.2779999999998,BOTH,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,20260922_0161M0_BASE_E001_090345632652|20260922_0161M0_PRE_HISTORY_E001_090346013080|20260922_0161M0_BASE_E002_090913591703,2026-09-22:0161M0:2,2026-09-22 09:08:00.000,40500.0,2026-09-22 09:09:00.000,-26.66666666666667,2026-09-22 17:17:00.000,29700.0,29750.0,2026-09-22 16:13:00.000,2026-09-22 16:15:00.000,75,0.16835016835017313,False,29900.0,29929.899999999998,2026-09-22 16:35:00.000,0.5369349503858876,2026-09-22 17:25:00.000,2026-09-22 17:25:01.378,29750.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,058470,리노공업,2026-09-22 17:24:00.000,74500.0,74600.0,74500.0,74500.0,984.0,18,PULLBACK_BASE,76900.0,-3.1209362808842678,72800.0,320,76900.0,73000.0,5.342465753424652,0,2151.844,BASE,2026-09-22 11:07:41.592,2026-09-22 11:07:41.592,,20260922_058470_BASE_E003_110741665719|20260922_058470_BASE_E013_133516171397,2026-09-22:058470:1,2026-09-22 14:08:00.000,76900.0,2026-09-22 11:22:00.000,-5.331599479843952,2026-09-22 11:33:00.000,72800.0,72800.0,2026-09-22 15:44:00.000,2026-09-22 15:46:00.000,104,2.335164835164827,False,74800.0,74874.79999999999,2026-09-22 16:56:00.000,1.2913385826771653,2026-09-22 17:25:00.000,2026-09-22 17:25:02.151,74500.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,080220,제주반도체,2026-09-22 17:24:00.000,75300.0,75300.0,75200.0,75300.0,56.0,12,PULLBACK_BASE,79500.0,-5.40880503144654,72100.0,79,75800.0,75100.0,0.9320905459387463,0,2862.732,BOTH,2026-09-22 09:16:19.394,2026-09-22 09:16:19.394,2026-09-22 09:16:19.394,20260922_080220_BASE_E002_091619412017|20260922_080220_PRE_HISTORY_E002_091620311001,2026-09-22:080220:1,2026-09-22 09:17:00.000,79500.0,2026-09-22 09:22:00.000,-9.308176100628929,2026-09-22 16:00:00.000,72100.0,72100.0,2026-09-22 16:04:00.000,2026-09-22 16:06:00.000,84,4.438280166435504,False,75300.0,75375.29999999999,2026-09-22 16:56:00.000,0.17582417582417584,2026-09-22 17:25:00.000,2026-09-22 17:25:02.862,75300.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,001820,삼화콘덴서,2026-09-22 17:24:00.000,146000.0,146000.0,146000.0,146000.0,367.0,13,PULLBACK_BASE,154300.0,-5.3791315618924145,145600.0,79,147400.0,146000.0,0.9589041095890316,0,3158.728,BASE,2026-09-22 09:30:57.518,2026-09-22 09:30:57.518,,20260922_001820_BASE_E003_093057673358,2026-09-22:001820:1,2026-09-22 09:32:00.000,154300.0,2026-09-22 09:35:00.000,-5.63836681788723,2026-09-22 16:00:00.000,145600.0,145600.0,2026-09-22 16:04:00.000,2026-09-22 16:06:00.000,84,0.27472527472527375,False,146300.0,146446.3,2026-09-22 15:10:00.000,1.6311111111111112,2026-09-22 17:25:00.000,2026-09-22 17:25:03.158,146000.0,,,,,pullback_support_v1,OK
