datetime,version,candidate_count,open_strategy_count,tick_queue_backlog,writer_queue_backlog,pending_notifications,unknown_notifications,halted,ticks,gaps,bars,invalid_bars,save_failures
2026-09-22 14:00:13.362,v2.2.0,26,2429,0,0,0,0,False,1128170,38,6188,53,0
2026-09-22 14:01:25.795,v2.2.0,26,2416,0,0,0,0,False,1132848,38,6214,53,0
2026-09-22 14:02:38.371,v2.2.0,26,2416,0,0,0,0,False,1136738,38,6240,53,0
2026-09-22 14:03:52.407,v2.2.0,26,2416,0,0,0,0,False,1140772,38,6266,53,0
2026-09-22 14:05:05.721,v2.2.0,26,2416,0,0,0,0,False,1144183,38,6318,53,0
2026-09-22 14:06:21.651,v2.2.0,26,2416,0,0,0,0,False,1147396,38,6344,53,0
2026-09-22 14:07:39.904,v2.2.0,26,2416,0,0,0,0,False,1151682,38,6370,53,0
2026-09-22 14:08:57.617,v2.2.0,26,2405,0,0,0,0,False,1156310,38,6396,53,0
2026-09-22 14:10:17.336,v2.2.0,26,2405,0,0,0,0,False,1160227,38,6447,53,0
2026-09-22 14:11:19.877,v2.2.0,26,2405,0,0,0,0,False,1163087,38,6473,53,0
2026-09-22 14:12:36.654,v2.2.0,26,2405,0,0,0,0,False,1166737,38,6500,53,0
2026-09-22 14:13:52.038,v2.2.0,26,2405,0,0,0,0,False,1169799,38,6526,53,0
2026-09-22 14:15:10.590,v2.2.0,26,2574,162,0,0,0,False,1172453,38,6578,53,0
2026-09-22 14:16:26.445,v2.2.0,26,2561,0,0,0,0,False,1175955,38,6604,53,0
2026-09-22 14:17:44.804,v2.2.0,26,2531,0,0,0,0,False,1179720,38,6630,53,0
2026-09-22 14:18:46.329,v2.2.0,27,2541,0,0,0,0,False,1183254,38,6656,53,0
2026-09-22 14:19:57.760,v2.2.0,27,2586,0,0,0,0,False,1188257,38,6683,54,0
2026-09-22 14:21:10.927,v2.2.0,27,2477,0,0,0,0,False,1193509,38,6737,54,0
2026-09-22 14:22:21.446,v2.2.0,27,2425,0,0,0,0,False,1197935,38,6764,54,0
2026-09-22 14:23:32.039,v2.2.0,27,2425,0,0,0,0,False,1201964,38,6791,54,0
2026-09-22 14:24:43.215,v2.2.0,27,2399,0,0,0,0,False,1207054,38,6818,54,0
2026-09-22 14:25:55.668,v2.2.0,27,2360,0,0,0,0,False,1211125,38,6845,54,0
2026-09-22 14:27:08.664,v2.2.0,27,2263,0,0,0,0,False,1215767,38,6898,54,0
2026-09-22 14:28:23.720,v2.2.0,27,2246,0,0,0,0,False,1220251,38,6924,54,0
2026-09-22 14:29:37.210,v2.2.0,27,2214,0,0,0,0,False,1225389,38,6952,55,0
2026-09-22 14:30:45.192,v2.2.0,27,2214,0,0,0,0,False,1229683,38,6979,55,0
2026-09-22 14:31:59.339,v2.2.0,27,2214,0,0,0,0,False,1233618,38,7006,55,0
2026-09-22 14:33:14.541,v2.2.0,27,2214,0,0,0,0,False,1237761,38,7060,55,0
2026-09-22 14:34:27.578,v2.2.0,27,2201,0,0,0,0,False,1242800,38,7086,55,0
2026-09-22 14:35:45.954,v2.2.0,27,2149,0,0,0,0,False,1247598,38,7114,55,0
2026-09-22 14:37:05.305,v2.2.0,27,2149,0,0,0,0,False,1252095,38,7165,55,0
2026-09-22 14:38:07.210,v2.2.0,27,2149,0,0,0,0,False,1255129,38,7194,55,0
2026-09-22 14:39:08.835,v2.2.0,27,2149,0,0,0,0,False,1257935,38,7222,55,0
2026-09-22 14:40:10.799,v2.2.0,27,2318,0,0,0,0,False,1261077,38,7249,55,0
2026-09-22 14:41:12.778,v2.2.0,27,2318,0,0,0,0,False,1263784,38,7276,55,0
2026-09-22 14:42:14.560,v2.2.0,27,2279,0,0,0,0,False,1267069,38,7303,55,0
2026-09-22 14:43:15.856,v2.2.0,27,2279,0,0,0,0,False,1269842,38,7330,55,0
2026-09-22 14:44:35.980,v2.2.0,27,2269,0,0,0,0,False,1273144,38,7357,55,0
2026-09-22 14:45:40.264,v2.2.0,27,2353,0,0,0,0,False,1276218,38,7384,55,0
2026-09-22 14:46:41.032,v2.2.0,27,2353,0,0,0,0,False,1278904,38,7410,55,0
2026-09-22 14:48:03.121,v2.2.0,27,2340,0,0,0,0,False,1283305,38,7463,55,0
2026-09-22 14:49:09.438,v2.2.0,27,2509,180,0,0,0,False,1286381,38,7491,55,0
2026-09-22 14:50:21.379,v2.2.0,27,2525,0,0,0,0,False,1290392,38,7519,55,0
2026-09-22 14:51:25.524,v2.2.0,27,2525,0,0,0,0,False,1293472,38,7546,55,0
2026-09-22 14:52:32.351,v2.2.0,27,2525,0,0,0,0,False,1297089,38,7573,55,0
2026-09-22 14:53:42.443,v2.2.0,27,2525,0,0,0,0,False,1300499,38,7600,55,0
2026-09-22 14:54:53.743,v2.2.0,27,2454,0,0,0,0,False,1304624,38,7627,55,0
2026-09-22 14:56:02.426,v2.2.0,27,2454,0,0,0,0,False,1307793,38,7679,55,0
2026-09-22 14:57:10.797,v2.2.0,27,2296,0,0,0,0,False,1311980,38,7707,55,0
2026-09-22 14:58:18.391,v2.2.0,27,2296,0,0,0,0,False,1315710,38,7734,55,0
2026-09-22 14:59:24.734,v2.2.0,27,2292,0,0,0,0,False,1318958,38,7761,56,0
2026-09-22 15:00:41.291,v2.2.0,27,2308,0,0,0,0,False,1323317,38,7788,56,0
2026-09-22 15:01:49.051,v2.2.0,27,2308,88,0,0,0,False,1326231,38,7815,56,0
2026-09-22 15:03:02.796,v2.2.0,27,2308,0,0,0,0,False,1329584,38,7867,56,0
2026-09-22 15:04:07.482,v2.2.0,27,2304,0,0,0,0,False,1332881,38,7894,56,0
2026-09-22 15:05:11.388,v2.2.0,27,2297,0,0,0,0,False,1335976,38,7922,57,0
2026-09-22 15:06:12.003,v2.2.0,27,2297,0,0,0,0,False,1338941,38,7948,57,0
2026-09-22 15:07:17.886,v2.2.0,27,2297,0,0,0,0,False,1342236,38,7976,57,0
2026-09-22 15:08:21.762,v2.2.0,27,2297,0,0,0,0,False,1344992,38,8003,57,0
2026-09-22 15:09:27.190,v2.2.0,27,2297,0,0,0,0,False,1348175,38,8030,57,0
2026-09-22 15:10:33.207,v2.2.0,27,2297,0,0,0,0,False,1351159,38,8057,57,0
2026-09-22 15:11:38.176,v2.2.0,27,2297,0,0,0,0,False,1354233,38,8084,57,0
2026-09-22 15:12:42.251,v2.2.0,27,2297,0,0,0,0,False,1356828,38,8111,57,0
2026-09-22 15:13:49.131,v2.2.0,27,2297,0,0,0,0,False,1360248,38,8138,57,0
2026-09-22 15:14:53.305,v2.2.0,27,2297,0,0,0,0,False,1363355,38,8165,57,0
2026-09-22 15:15:55.301,v2.2.0,27,2297,0,0,0,0,False,1366886,38,8192,57,0
2026-09-22 15:16:57.952,v2.2.0,27,2297,0,0,0,0,False,1370615,38,8219,57,0
2026-09-22 15:17:59.394,v2.2.0,27,2297,0,0,0,0,False,1373892,38,8246,57,0
2026-09-22 15:19:17.752,v2.2.0,27,2297,0,0,0,0,False,1377776,38,8299,57,0
2026-09-22 15:20:25.673,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
