datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth
2026-08-13 09:11:27,v1.5,MAIN,KOSPI,000660,SK하이닉스,1611000.0,7.11,578926,2288076000000.0,2321062749000.0,2288076000000.0,ACTUAL,1,1616000.0,0.3094059405940594,1.0385084101409157,1.058839882579949,79,40,25,5,9
2026-08-13 09:11:27,v1.5,MAIN,KOSPI,475150,SK이터닉스,56900.0,7.21,1026138,55832000000.0,56288238000.0,55832000000.0,ACTUAL,26,57000.0,0.17543859649122806,1.0960130346871872,1.1166503254282365,78,33,25,11,9
2026-08-13 09:11:27,v1.5,MAIN,KOSDAQ,119850,지엔씨에너지,56700.0,17.22,353420,47418000000.0,51094532000.0,47418000000.0,ACTUAL,4,56900.0,0.35149384885764495,1.1279257849666984,1.202534229795574,77,29,25,11,12
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,009150,삼성전기,1479000.0,10.71,137625,690994000000.0,708358104000.0,690994000000.0,ACTUAL,3,1482000.0,0.20242914979757085,1.03043769376796,1.065332662460812,79,40,25,5,9
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,161890,한국콜마,143200.0,7.85,301202,110531000000.0,116366756700.0,110531000000.0,ACTUAL,14,143400.0,0.1394700139470014,1.046586056376703,1.0639157632979757,79,40,25,5,9
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,000660,SK하이닉스,1614000.0,7.31,615445,2370401000000.0,2405775138000.0,2370401000000.0,ACTUAL,1,1616000.0,0.12376237623762376,1.0359800111534756,1.0630806009749088,79,40,25,5,9
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,475150,SK이터닉스,56800.0,7.97,1089183,60504000000.0,61690354100.0,60504000000.0,ACTUAL,25,57000.0,0.3508771929824561,1.0836796102593496,1.0614391046818263,78,33,25,11,9
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,073240,금호타이어,7910.0,6.87,3105342,52336000000.0,53857356280.0,52336000000.0,ACTUAL,28,7940.0,0.3778337531486146,1.0841222164681512,1.0973983039377242,78,33,25,11,9
2026-08-13 09:12:43,v1.5,MAIN,KOSPI,005930,삼성전자,268500.0,5.09,2372758,2064733000000.0,2079067189500.0,2064733000000.0,ACTUAL,2,270000.0,0.5555555555555556,1.0286182152237247,1.0641220210065567,76,40,22,5,9
2026-08-13 09:14:00,v1.5,MAIN,KOSPI,009150,삼성전기,1502000.0,12.21,161682,730690000000.0,757609006000.0,730690000000.0,ACTUAL,3,1502000.0,0.0,1.0574476768249796,1.1748010899182562,88,40,25,11,12
