datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,history_available_sec,history_sample_count,price_change_15s,price_change_30s,price_change_60s,price_change_120s,price_change_180s,price_change_300s,high_gap_change_30s,high_gap_change_60s,high_gap_change_120s,high_gap_change_180s,high_gap_change_300s
2026-08-24 09:20:58,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38300.0,17.97,837596,109796000000.0,32079926800.0,109796000000.0,ACTUAL,1,38500.0,0.5194805194805194,1.0425584442714169,1.0794514051235524,76,40,22,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1237.699446,591.4852662086487,39,0.39318479685452157,0.2617801047120419,0.922266139657444,2.406417112299465,2.2696929238985315,4.7879616963064295,0.1283462300411452,-0.5235442523578118,-1.9577033136355169,-1.8273252171557257,-4.174130953791971
2026-08-24 09:21:14,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38200.0,17.36,846427,110649000000.0,32333511400.0,110649000000.0,ACTUAL,1,38500.0,0.7792207792207793,1.0471877573038813,1.0831451155731695,76,40,22,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1253.294332,590.8497252464294,39,-0.26109660574412535,0.1310615989515072,0.39421813403416556,1.866666666666667,2.2757697456492636,3.523035230352303,0.25770839330161366,-0.003047799657969197,-1.4372068609356747,-1.8283411503750486,-3.001744018693172
2026-08-24 09:21:30,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38350.0,18.13,855916,111446000000.0,32824378600.0,111446000000.0,ACTUAL,1,38500.0,0.38961038961038963,1.0459600747074116,1.0635390249024268,79,40,25,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1269.662248,591.3795764446259,39,0.3926701570680628,0.13054830287206268,0.3926701570680628,0.5242463958060288,2.677376171352075,3.9295392953929538,-0.1298701298701298,-0.0015238998289845984,-0.13190199630877597,-2.2179515399854384,-3.3913544083035614
2026-08-24 09:21:30,v1.6.2,MAIN,KOSPI,006400,삼성SDI,516000.0,7.53,152579,161134000000.0,78730764000.0,161134000000.0,ACTUAL,8,519000.0,0.5780346820809248,1.0189776959900843,1.052660990989748,76,40,22,5,9,True,60,2026-08-24 09:18:54,513000.0,68.0,155.582697,591.3795764446259,39,0.38910505836575876,0.1941747572815534,0.1941747572815534,0.5847953216374269,0.5847953216374269,0.0,-0.19267822736030837,-0.19267822736030837,-0.5780346820809248,,
2026-08-24 09:21:45,v1.6.2,MAIN,KOSPI,006400,삼성SDI,517000.0,8.16,153098,165129000000.0,79151666000.0,165129000000.0,ACTUAL,8,519000.0,0.3853564547206166,1.0405890804597702,1.0534362700575235,79,40,25,5,9,True,60,2026-08-24 09:18:54,513000.0,68.0,171.013297,591.615909576416,39,0.1937984496124031,0.5836575875486382,0.1937984496124031,0.5836575875486382,1.1741682974559686,0.3883495145631068,-0.5780346820809248,-0.1926782273603082,-0.5780346820809248,,
2026-08-24 09:21:45,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38300.0,18.13,864264,112064000000.0,33101311200.0,112064000000.0,ACTUAL,1,38500.0,0.5194805194805194,1.0359988906351114,1.0592444158470449,76,40,22,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1285.113811,591.615909576416,39,-0.1303780964797914,0.2617801047120419,0.39318479685452157,0.988793671720501,2.680965147453083,3.934871099050204,-0.2597402597402598,-0.0020318664386461682,-0.5887333005977076,-2.2184595065950994,-3.391862374913223
2026-08-24 09:23:34,v1.6.2,MAIN,KOSPI,006400,삼성SDI,521000.0,8.47,176971,175139000000.0,92201891000.0,175139000000.0,ACTUAL,8,522000.0,0.19157088122605362,1.0403328799101865,1.1125493499635377,79,40,25,5,9,True,60,2026-08-24 09:18:54,513000.0,68.0,279.478294,591.8257601261139,39,0.5791505791505791,0.5791505791505791,0.5791505791505791,0.9689922480620154,1.1650485436893203,1.9569471624266144,-0.001107346134254672,-0.001107346134254672,-0.3864638008548712,-0.5791420282151796,
2026-08-24 09:23:49,v1.6.2,MAIN,KOSPI,006400,삼성SDI,521000.0,9.0,179122,191059000000.0,93322562000.0,191059000000.0,ACTUAL,7,522000.0,0.19157088122605362,1.1173759715537257,1.1159623447906348,85,40,25,11,9,True,60,2026-08-24 09:18:54,513000.0,68.0,294.888964,591.4772639274597,39,0.0,0.5791505791505791,0.5791505791505791,0.7736943907156674,0.9689922480620154,1.5594541910331383,-0.001107346134254672,-0.001107346134254672,-0.19378557349456296,-0.3864638008548712,-0.964498482935796
2026-08-24 09:24:06,v1.6.2,MAIN,KOSPI,006400,삼성SDI,519000.0,8.58,181675,193625000000.0,94289325000.0,193625000000.0,ACTUAL,7,522000.0,0.5747126436781609,1.1239623846287805,1.127624710606841,82,40,22,11,9,True,60,2026-08-24 09:18:54,513000.0,68.0,311.221142,591.2764339447021,39,-0.3838771593090211,-0.3838771593090211,0.19305019305019305,0.5813953488372093,0.7766990291262136,0.9727626459143969,0.3831417624521073,0.3820344163178526,-0.003322038402763905,-0.19600026576307228,-0.38867849312338043
2026-08-24 09:24:21,v1.6.2,MAIN,KOSPI,006400,삼성SDI,518500.0,8.58,183831,195392000000.0,95316373500.0,195392000000.0,ACTUAL,7,522000.0,0.6704980842911877,1.1240924624040685,1.1295299539170507,82,40,22,11,9,True,60,2026-08-24 09:18:54,513000.0,68.0,326.51978,591.0486037731171,39,-0.09633911368015415,-0.47984644913627633,0.09652509652509653,0.3872216844143272,0.8754863813229572,1.0721247563352825,0.47892720306513414,0.47781985693087947,0.18880251589041708,-0.2928930525103536,-0.48557127987066184
2026-08-24 09:24:37,v1.6.2,MAIN,KOSPI,006400,삼성SDI,517500.0,8.37,185125,196541000000.0,95802187500.0,196541000000.0,ACTUAL,7,522000.0,0.8620689655172413,1.1222000810784576,1.0460753456781056,77,40,22,11,4,True,60,2026-08-24 09:18:54,513000.0,68.0,342.670109,590.7700004577637,39,-0.19286403085824494,-0.2890173410404624,-0.6717850287907869,-0.09652509652509653,0.29069767441860467,0.6809338521400778,0.28735632183908044,0.6704980842911877,0.6693907381569331,0.28403428343631654,-0.10132217128429999
