datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score
2026-08-12 09:26:16,v1.4,MAIN,KOSPI,066570,LG전자,194800.0,7.15,621057,228010000000.0,231523805700.0,228010000000.0,ACTUAL,6,197800.0,1.5166835187057632,1.0235174237221183,1.0263928988723936,76
2026-08-12 09:27:29,v1.4,MAIN,KOSPI,017900,광전자,9540.0,7.71,4236178,38794000000.0,38948588640.0,38794000000.0,ACTUAL,39,9710.0,1.7507723995880538,1.255713083446624,1.2668989017680212,79
2026-08-12 09:27:31,v1.4,MAIN,KOSPI,066570,LG전자,195200.0,7.37,641903,235013000000.0,239006864800.0,235013000000.0,ACTUAL,6,197800.0,1.314459049544995,1.030713565194509,1.0335653571250303,76
2026-08-12 09:27:31,v1.4,MAIN,KOSPI,006340,대원전선,15510.0,6.89,6745684,103644000000.0,104137958400.0,103644000000.0,ACTUAL,14,15740.0,1.4612452350698857,1.0471735286688557,1.0488627174031517,76
2026-08-12 09:27:31,v1.4,MAIN,KOSPI,009150,삼성전기,1315000.0,4.28,123755,396171000000.0,402176180000.0,396171000000.0,ACTUAL,3,1318000.0,0.2276176024279211,1.0,1.0,75
2026-08-12 09:27:32,v1.4,MAIN,KOSPI,005930,삼성전자,249500.0,4.18,4520558,2263549000000.0,2299395493000.0,2263549000000.0,ACTUAL,1,250500.0,0.39920159680638717,1.0176249637533745,1.0215557820377523,75
2026-08-12 09:27:32,v1.4,MAIN,KOSPI,000660,SK하이닉스,1474000.0,3.3,536422,1828638000000.0,1847479232000.0,1828638000000.0,ACTUAL,2,1478000.0,0.2706359945872801,1.0309248476702912,1.049057666470449,75
2026-08-12 09:28:46,v1.4,MAIN,KOSPI,475150,SK이터닉스,52800.0,3.33,893869,45825000000.0,46872724800.0,45825000000.0,ACTUAL,32,52900.0,0.1890359168241966,1.5676849919605897,1.563563628349079,83
2026-08-12 09:28:48,v1.4,MAIN,KOSPI,066570,LG전자,195100.0,7.37,654398,238949000000.0,242946714200.0,238949000000.0,ACTUAL,6,197800.0,1.365015166835187,1.0167480096845707,1.0194655578802405,76
2026-08-12 09:28:48,v1.4,MAIN,KOSPI,006340,대원전선,15470.0,6.58,6976827,107277000000.0,107514883750.0,107277000000.0,ACTUAL,14,15740.0,1.7153748411689964,1.0350526803288178,1.0342653169048535,75
2026-08-12 09:28:48,v1.4,MAIN,KOSPI,009150,삼성전기,1319000.0,4.52,127776,405623000000.0,412597709000.0,405623000000.0,ACTUAL,3,1319000.0,0.0,1.0238583843845208,1.0324916165003435,75
2026-08-12 09:28:48,v1.4,MAIN,KOSPI,005930,삼성전자,249500.0,4.28,4681511,2308729000000.0,2346900750000.0,2308729000000.0,ACTUAL,1,250500.0,0.39920159680638717,1.0199598064808846,1.0356046753520252,75
2026-08-12 09:28:48,v1.4,MAIN,KOSPI,000660,SK하이닉스,1474000.0,3.51,559558,1880567000000.0,1904345950000.0,1880567000000.0,ACTUAL,2,1478000.0,0.2706359945872801,1.0283976380234907,1.0431302221012562,75
2026-08-12 09:30:06,v1.4,MAIN,KOSPI,009150,삼성전기,1320000.0,4.6,136479,425947000000.0,433062960000.0,425947000000.0,ACTUAL,3,1322000.0,0.15128593040847202,1.0501056399661755,1.0681113824192336,82
2026-08-12 09:30:06,v1.4,MAIN,KOSPI,006340,대원전선,15630.0,7.58,7125523,109781000000.0,111129942660.0,109781000000.0,ACTUAL,14,15740.0,0.6988564167725541,1.0233414431798056,1.0213128403499183,79
2026-08-12 09:30:06,v1.4,MAIN,KOSPI,066570,LG전자,195100.0,7.32,662635,241622000000.0,245500905000.0,241622000000.0,ACTUAL,6,197800.0,1.365015166835187,1.011186487493147,1.0125871411587444,76
2026-08-12 09:30:06,v1.4,MAIN,KOSPI,005930,삼성전자,249250.0,3.97,4803531,2359413000000.0,2390374602000.0,2359413000000.0,ACTUAL,1,250500.0,0.499001996007984,1.021953204555407,1.0260642343892816,75
2026-08-12 09:30:06,v1.4,MAIN,KOSPI,000660,SK하이닉스,1471000.0,3.23,579454,1926450000000.0,1944775267000.0,1926450000000.0,ACTUAL,2,1478000.0,0.4736129905277402,1.0243984925822904,1.0355566357732353,75
2026-08-12 09:31:23,v1.4,MAIN,KOSPI,066570,LG전자,194800.0,7.15,670965,244446000000.0,247939741500.0,244446000000.0,ACTUAL,6,197800.0,1.5166835187057632,1.0116876774465902,1.0125710232631842,76
2026-08-12 09:31:23,v1.4,MAIN,KOSPI,006340,대원전선,15480.0,6.61,7283322,112338000000.0,112697774640.0,112338000000.0,ACTUAL,15,15740.0,1.6518424396442184,1.0232918264544866,1.0221456025052478,75
2026-08-12 09:31:23,v1.4,MAIN,KOSDAQ,257720,실리콘투,43900.0,9.74,659626,67025000000.0,69268716000.0,67025000000.0,ACTUAL,5,44000.0,0.22727272727272727,1.0274707586650929,1.0361116870550833,75
2026-08-12 09:32:35,v1.4,MAIN,KOSPI,066570,LG전자,194000.0,6.77,679933,247148000000.0,249445394000.0,247148000000.0,ACTUAL,6,197800.0,1.9211324570273005,1.0110535660227618,1.0133658238507224,75
2026-08-12 09:32:35,v1.4,MAIN,KOSPI,006340,대원전선,15460.0,6.47,7429132,114560000000.0,114784795260.0,114560000000.0,ACTUAL,15,15740.0,1.7789072426937738,1.0197795937260767,1.02001971078582,75
2026-08-12 09:32:35,v1.4,MAIN,KOSDAQ,257720,실리콘투,44000.0,9.99,690294,69816000000.0,72206143300.0,69816000000.0,ACTUAL,4,44150.0,0.33975084937712347,1.0416411786646773,1.0464930127072007,75
2026-08-12 09:33:49,v1.4,MAIN,KOSDAQ,257720,실리콘투,44300.0,10.86,727551,72358000000.0,75326464800.0,72358000000.0,ACTUAL,4,44450.0,0.3374578177727784,1.036409991978916,1.0539726551295534,78
2026-08-12 09:33:49,v1.4,MAIN,KOSPI,066570,LG전자,194300.0,6.99,688730,249835000000.0,252969220800.0,249835000000.0,ACTUAL,6,197800.0,1.7694641051567241,1.010872028096525,1.012938039483302,76
2026-08-12 09:33:49,v1.4,MAIN,KOSPI,006340,대원전선,15460.0,6.61,7567952,116735000000.0,117103785120.0,116735000000.0,ACTUAL,15,15740.0,1.7789072426937738,1.018985684357542,1.0186858976257254,75
2026-08-12 09:35:08,v1.4,MAIN,KOSPI,181710,NHN,60800.0,11.99,478523,101511000000.0,104827807400.0,101511000000.0,ACTUAL,19,62500.0,2.7199999999999998,1.1283262565858214,1.2903619850934624,78
2026-08-12 09:35:10,v1.4,MAIN,KOSPI,402340,SK스퀘어,1008000.0,6.56,169177,299165000000.0,303963957000.0,299165000000.0,ACTUAL,5,1018000.0,0.9823182711198428,1.0,1.0,78
2026-08-12 09:35:11,v1.4,MAIN,KOSPI,066570,LG전자,194200.0,6.77,698282,252613000000.0,255185272000.0,252613000000.0,ACTUAL,6,197800.0,1.820020222446916,1.011119338763584,1.0138690052705706,75
2026-08-12 09:35:11,v1.4,MAIN,KOSPI,006340,대원전선,15430.0,5.99,7754686,119610000000.0,119303757090.0,119610000000.0,ACTUAL,15,15740.0,1.9695044472681067,1.0246284319184478,1.0246743108307241,75
2026-08-12 09:36:31,v1.4,MAIN,KOSPI,402340,SK스퀘어,1015000.0,7.41,175170,309223000000.0,316473955000.0,309223000000.0,ACTUAL,5,1018000.0,0.29469548133595286,1.0336202430097103,1.0354244371279784,81
2026-08-12 09:36:31,v1.4,MAIN,KOSPI,066570,LG전자,195300.0,7.43,710373,256462000000.0,260643728000.0,256462000000.0,ACTUAL,6,197800.0,1.2639029322548028,1.0152367455356612,1.0173153539687405,76
2026-08-12 09:36:31,v1.4,MAIN,KOSPI,475150,SK이터닉스,52700.0,3.13,1020939,52417000000.0,53420619800.0,52417000000.0,ACTUAL,33,52900.0,0.3780718336483932,1.1438516093835243,1.1421572959796122,76
2026-08-12 09:36:31,v1.4,MAIN,KOSPI,006340,대원전선,15470.0,6.61,7820203,120644000000.0,121039606080.0,120644000000.0,ACTUAL,17,15740.0,1.7153748411689964,1.0086447621436334,1.0084486979872558,75
2026-08-12 09:36:31,v1.4,MAIN,KOSPI,005930,삼성전자,249250.0,3.97,5265627,2534960000000.0,2565691767000.0,2534960000000.0,ACTUAL,1,250500.0,0.499001996007984,1.0169563600491516,1.0212800497448655,75
2026-08-12 09:36:31,v1.4,MAIN,KOSDAQ,257720,실리콘투,44450.0,10.99,775493,75693000000.0,78743530600.0,75693000000.0,ACTUAL,4,44500.0,0.11235955056179776,1.0276276847049879,1.0414334443489472,75
2026-08-12 09:37:51,v1.4,MAIN,KOSPI,402340,SK스퀘어,1012500.0,7.2,179076,314434000000.0,321005518000.0,314434000000.0,ACTUAL,5,1018000.0,0.5402750491159135,1.0168519159312213,1.0222983387566364,78
2026-08-12 09:37:51,v1.4,MAIN,KOSPI,066570,LG전자,195200.0,7.48,717099,258521000000.0,262866769200.0,258521000000.0,ACTUAL,6,197800.0,1.314459049544995,1.0080284798527657,1.0094682652634601,76
2026-08-12 09:37:53,v1.4,MAIN,KOSDAQ,257720,실리콘투,44450.0,11.11,800769,77907000000.0,81075573500.0,77907000000.0,ACTUAL,4,44550.0,0.22446689113355783,1.0292497324719592,1.0325934599022815,75
2026-08-12 09:39:11,v1.4,MAIN,KOSPI,066570,LG전자,196700.0,8.09,740746,266282000000.0,271625324400.0,266282000000.0,ACTUAL,6,197800.0,0.5561172901921132,1.0300207720069163,1.032975921037402,79
2026-08-12 09:39:11,v1.4,MAIN,KOSPI,402340,SK스퀘어,1010000.0,6.77,183008,319312000000.0,324664921000.0,319312000000.0,ACTUAL,5,1018000.0,0.7858546168958742,1.015513589497319,1.0219571578547655,78
2026-08-12 09:39:11,v1.4,MAIN,KOSDAQ,257720,실리콘투,44800.0,11.74,829433,80020000000.0,83599130750.0,80020000000.0,ACTUAL,4,44800.0,0.0,1.027122081456095,1.0357955914876824,75
2026-08-12 09:40:31,v1.4,MAIN,KOSPI,066570,LG전자,196200.0,7.87,754583,271410000000.0,276692612000.0,271410000000.0,ACTUAL,6,197800.0,0.8088978766430739,1.0192577793467077,1.0186798173732967,79
2026-08-12 09:40:31,v1.4,MAIN,KOSPI,402340,SK스퀘어,1008000.0,6.67,187618,325983000000.0,330947568000.0,325983000000.0,ACTUAL,5,1018000.0,0.9823182711198428,1.02089179235356,1.025190155621612,79
2026-08-12 09:40:31,v1.4,MAIN,KOSDAQ,257720,실리콘투,44800.0,11.74,872383,82892000000.0,86527928750.0,82892000000.0,ACTUAL,4,44850.0,0.11148272017837235,1.0358910272431892,1.0517823621678906,78
2026-08-12 09:41:49,v1.4,MAIN,KOSPI,066570,LG전자,196400.0,8.09,764693,274784000000.0,280641262800.0,274784000000.0,ACTUAL,6,197800.0,0.7077856420626896,1.0124313768836815,1.0133981285027625,79
2026-08-12 09:41:49,v1.4,MAIN,KOSPI,402340,SK스퀘어,1007000.0,6.56,190649,330549000000.0,335243391000.0,330549000000.0,ACTUAL,5,1018000.0,1.080550098231827,1.014006865388686,1.0161551663486446,76
2026-08-12 09:41:49,v1.4,MAIN,KOSDAQ,036930,주성엔지니어링,169500.0,3.94,656231,106535000000.0,109444349600.0,106535000000.0,ACTUAL,2,169500.0,0.0,1.0380594179033216,1.044444904234561,75
2026-08-12 09:43:11,v1.4,MAIN,KOSPI,066570,LG전자,197600.0,8.7,790991,284262000000.0,291510790000.0,284262000000.0,ACTUAL,6,197800.0,0.10111223458038424,1.0344925468731805,1.0343902716514994,81
2026-08-12 09:43:11,v1.4,MAIN,KOSDAQ,257720,실리콘투,45100.0,12.48,986822,92195000000.0,96407585650.0,92195000000.0,ACTUAL,4,45250.0,0.3314917127071823,1.0722717809748665,1.0753431748069318,78
2026-08-12 09:43:11,v1.4,MAIN,KOSDAQ,036930,주성엔지니어링,168100.0,3.82,690046,113082000000.0,115793637000.0,113082000000.0,ACTUAL,1,169800.0,1.0011778563015312,1.0614539822593514,1.0515291109380691,77
2026-08-12 09:43:11,v1.4,MAIN,KOSPI,402340,SK스퀘어,1006000.0,6.56,193392,333821000000.0,338509092000.0,333821000000.0,ACTUAL,5,1018000.0,1.1787819253438114,1.0098986837049877,1.0143876967621126,75
2026-08-12 09:44:30,v1.4,MAIN,KOSPI,066570,LG전자,199500.0,9.71,835569,300524000000.0,310652686800.0,300524000000.0,ACTUAL,6,199500.0,0.0,1.0572077871822474,1.056357151977709,88
2026-08-12 09:44:30,v1.4,MAIN,KOSPI,402340,SK스퀘어,1008000.0,6.61,195288,337146000000.0,342011995000.0,337146000000.0,ACTUAL,5,1018000.0,0.9823182711198428,1.009960427893991,1.0098039215686274,79
2026-08-12 09:45:48,v1.4,MAIN,KOSPI,066570,LG전자,200000.0,10.07,888384,322113000000.0,333194200000.0,322113000000.0,ACTUAL,6,200500.0,0.24937655860349126,1.0718378565439033,1.0632084244389153,85
2026-08-12 09:45:48,v1.4,MAIN,KOSPI,402340,SK스퀘어,1002000.0,6.08,197912,341063000000.0,344194340000.0,341063000000.0,ACTUAL,5,1018000.0,1.5717092337917484,1.0116181120345489,1.0134365654827742,75
2026-08-12 09:47:06,v1.4,MAIN,KOSPI,066570,LG전자,201000.0,10.48,906705,329492000000.0,341878454500.0,329492000000.0,ACTUAL,6,201000.0,0.0,1.022908109886903,1.0206228387724228,78
2026-08-12 09:47:06,v1.4,MAIN,KOSPI,402340,SK스퀘어,1003000.0,6.14,201271,345645000000.0,348848415000.0,345645000000.0,ACTUAL,5,1018000.0,1.4734774066797642,1.0134344681187932,1.016972189660051,75
2026-08-12 09:47:06,v1.4,MAIN,KOSDAQ,036930,주성엔지니어링,169000.0,3.63,735966,120642000000.0,123194758500.0,120642000000.0,ACTUAL,1,169800.0,0.47114252061248524,1.0141988852740158,1.0170291151852502,75
2026-08-12 09:48:23,v1.4,MAIN,KOSPI,066570,LG전자,200000.0,10.62,924087,338228000000.0,350473449000.0,338228000000.0,ACTUAL,6,202000.0,0.9900990099009901,1.0265135420586842,1.0191705130113984,76
2026-08-12 09:48:23,v1.4,MAIN,KOSPI,402340,SK스퀘어,1002000.0,6.03,203218,348610000000.0,351370338000.0,348610000000.0,ACTUAL,5,1018000.0,1.5717092337917484,1.00857816545878,1.0096735247502124,75
2026-08-12 09:48:23,v1.4,MAIN,KOSDAQ,036930,주성엔지니어링,170200.0,4.37,772222,124095000000.0,127387725000.0,124095000000.0,ACTUAL,1,170300.0,0.05871990604815032,1.0286218729795593,1.049263145308343,75
