collected_at_kst,api_id,instrument_type,code,base_date,page,row_count,cont_yn,next_key_present,status,message,first_raw_time,last_raw_time
2026-09-13T21:10:47.951729+09:00,ka20005,INDEX,001,2026-09-13,82,900,Y,True,COMPLETE,,20251201110300.0,20251126151000.0
2026-09-13T21:10:48.715323+09:00,ka20005,INDEX,001,2026-09-13,83,900,Y,True,COMPLETE,,20251126150900.0,20251124125400.0
2026-09-13T21:10:49.508511+09:00,ka20005,INDEX,001,2026-09-13,84,900,Y,True,COMPLETE,,20251124125300.0,20251120103800.0
2026-09-13T21:10:50.206656+09:00,ka20005,INDEX,001,2026-09-13,85,900,Y,True,COMPLETE,,20251120103700.0,20251117144400.0
2026-09-13T21:10:50.952965+09:00,ka20005,INDEX,001,2026-09-13,86,900,Y,True,COMPLETE,,20251117144300.0,20251113132800.0
2026-09-13T21:10:51.655509+09:00,ka20005,INDEX,001,2026-09-13,87,900,Y,True,COMPLETE,,20251113132700.0,20251111101200.0
2026-09-13T21:10:52.320483+09:00,ka20005,INDEX,001,2026-09-13,88,900,Y,True,COMPLETE,,20251111101100.0,20251106141800.0
2026-09-13T21:10:53.071478+09:00,ka20005,INDEX,001,2026-09-13,89,900,Y,True,COMPLETE,,20251106141700.0,20251104120200.0
2026-09-13T21:10:53.781262+09:00,ka20005,INDEX,001,2026-09-13,90,900,Y,True,COMPLETE,,20251104120100.0,20251031094600.0
2026-09-13T21:10:54.507191+09:00,ka20005,INDEX,001,2026-09-13,91,900,Y,True,COMPLETE,,20251031094500.0,20251028135200.0
2026-09-13T21:10:55.189802+09:00,ka20005,INDEX,001,2026-09-13,92,900,Y,True,COMPLETE,,20251028135100.0,20251024113600.0
2026-09-13T21:10:55.882053+09:00,ka20005,INDEX,001,2026-09-13,93,900,Y,True,COMPLETE,,20251024113500.0,20251022092000.0
2026-09-13T21:10:56.762178+09:00,ka20005,INDEX,001,2026-09-13,94,900,Y,True,COMPLETE,,20251022091900.0,20251017132600.0
2026-09-13T21:10:57.575303+09:00,ka20005,INDEX,001,2026-09-13,95,900,Y,True,COMPLETE,,20251017132500.0,20251015111000.0
2026-09-13T21:10:58.368199+09:00,ka20005,INDEX,001,2026-09-13,96,900,Y,True,COMPLETE,,20251015110900.0,20251010151600.0
2026-09-13T21:10:59.166156+09:00,ka20005,INDEX,001,2026-09-13,97,900,Y,True,COMPLETE,,20251010151500.0,20251001130000.0
2026-09-13T21:11:00.065759+09:00,ka20005,INDEX,001,2026-09-13,98,900,Y,True,COMPLETE,,20251001125900.0,20250929104400.0
2026-09-13T21:11:00.925183+09:00,ka20005,INDEX,001,2026-09-13,99,900,Y,True,COMPLETE,,20250929104300.0,20250924145000.0
2026-09-13T21:11:01.763522+09:00,ka20005,INDEX,001,2026-09-13,100,900,Y,True,COMPLETE,,20250924144900.0,20250922123400.0
2026-09-13T21:11:03.862048+09:00,ka20005,INDEX,001,2026-09-13,101,900,Y,True,COMPLETE,,20250922123300.0,20250918101800.0
2026-09-13T21:11:04.632062+09:00,ka20005,INDEX,001,2026-09-13,102,900,Y,True,COMPLETE,,20250918101700.0,20250915142400.0
2026-09-13T21:11:05.370663+09:00,ka20005,INDEX,001,2026-09-13,103,900,Y,True,COMPLETE,,20250915142300.0,20250911120800.0
2026-09-13T21:11:06.120565+09:00,ka20005,INDEX,001,2026-09-13,104,900,Y,True,COMPLETE,,20250911120700.0,20250909095200.0
2026-09-13T21:11:06.906593+09:00,ka20005,INDEX,001,2026-09-13,105,900,Y,True,COMPLETE,,20250909095100.0,20250904135800.0
2026-09-13T21:11:07.660935+09:00,ka20005,INDEX,001,2026-09-13,106,900,Y,True,COMPLETE,,20250904135700.0,20250902114200.0
2026-09-13T21:11:08.419110+09:00,ka20005,INDEX,001,2026-09-13,107,544,N,False,COMPLETE,,20250902114100.0,20250901090000.0
2026-09-13T21:11:21.491197+09:00,ka20005,INDEX,101,2026-09-13,1,900,Y,True,COMPLETE,,20260911153300.0,20260909130800.0
2026-09-13T21:11:22.819176+09:00,ka20005,INDEX,101,2026-09-13,2,900,Y,True,COMPLETE,,20260909130700.0,20260907105200.0
