market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI,INDEX,001,KOSPI,2025-09-09T14:03:00+09:00,2025-09-09,325356.0,325385.0,325301.0,325322.0,848,337622,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:04:00+09:00,2025-09-09,325250.0,325257.0,325139.0,325211.0,676,338298,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:05:00+09:00,2025-09-09,325172.0,325359.0,325104.0,325359.0,952,339250,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:06:00+09:00,2025-09-09,325259.0,325321.0,325229.0,325229.0,832,340082,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:07:00+09:00,2025-09-09,325245.0,325274.0,325142.0,325142.0,653,340735,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:08:00+09:00,2025-09-09,325161.0,325291.0,325144.0,325144.0,691,341426,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:09:00+09:00,2025-09-09,325156.0,325257.0,325044.0,325055.0,634,342060,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:10:00+09:00,2025-09-09,325109.0,325169.0,325093.0,325165.0,674,342734,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:11:00+09:00,2025-09-09,325094.0,325161.0,325025.0,325068.0,884,343618,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:12:00+09:00,2025-09-09,325041.0,325058.0,325016.0,325058.0,1250,344868,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:13:00+09:00,2025-09-09,325033.0,325099.0,324987.0,324987.0,891,345759,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:14:00+09:00,2025-09-09,325010.0,325030.0,324949.0,325030.0,860,346619,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:15:00+09:00,2025-09-09,324941.0,325030.0,324900.0,324900.0,619,347238,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:16:00+09:00,2025-09-09,324955.0,324963.0,324903.0,324932.0,534,347772,ka20005,N/A,PARTIAL
