rule_family,index_family,entry_time_variant,direction,tp_pct,sl_pct,cost_status,samples,grid_rows,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,gross_profit_factor
KOREAN_V20,KOSDAQ150,14:50,LONG,0.75,-0.2,UNCONFIRMED,78,78,43.58974358974359,0.033962158559227344,-0.027744395649091633,1.340933227938619
KOREAN_V20,KOSDAQ150,14:50,LONG,1.0,-0.75,UNCONFIRMED,78,78,56.41025641025641,0.014122184948783385,-0.04758893552652697,1.0836707765918405
KOREAN_V20,KOSDAQ150,14:50,LONG,1.0,-0.5,UNCONFIRMED,78,78,53.84615384615385,0.03233422102905243,-0.02937329737824622,1.2268638594050116
KOREAN_V20,KOSDAQ150,14:50,LONG,1.0,-0.3,UNCONFIRMED,78,78,52.56410256410257,0.07243017131025654,0.010735267349264598,1.7093450413781646
KOREAN_V20,KOSDAQ150,14:50,LONG,1.0,-0.2,UNCONFIRMED,78,78,43.58974358974359,0.05073132628488004,-0.010970417743177073,1.5092725421957087
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.3,-0.75,UNCONFIRMED,92,92,52.17391304347826,0.01744489007004922,-0.3903874143546214,1.1318591630398158
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.3,-0.5,UNCONFIRMED,92,92,51.08695652173913,0.019525715329811514,-0.38829572094449977,1.1537969914377924
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.3,-0.3,UNCONFIRMED,92,92,47.82608695652174,0.028118866752565298,-0.37968340509314397,1.258964443639317
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.3,-0.2,UNCONFIRMED,92,92,40.21739130434783,0.016258415961369007,-0.39157514633187146,1.1665542748611435
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.5,-0.75,UNCONFIRMED,92,92,40.21739130434783,-0.026699109781157672,-0.4346128765958945,0.8374491686724438
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.5,-0.5,UNCONFIRMED,92,92,40.21739130434783,-0.014658497931174073,-0.422546926528685,0.9036957070001
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.5,-0.3,UNCONFIRMED,92,92,38.04347826086957,0.0033610021901401325,-0.4044858124835041,1.027254059634546
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.5,-0.2,UNCONFIRMED,92,92,30.434782608695656,-0.009480100474725516,-0.4173599903052163,0.9122275461706635
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.75,-0.75,UNCONFIRMED,92,92,36.95652173913043,-0.030844569206450977,-0.4387736464182611,0.8225850372256118
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.75,-0.5,UNCONFIRMED,92,92,36.95652173913043,-0.016086566052119607,-0.42398384569419606,0.8988886365397343
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.75,-0.3,UNCONFIRMED,92,92,35.869565217391305,0.008276741564110656,-0.3995648203393256,1.0653863880471206
KOREAN_V20,KOSDAQ150,15:00,INVERSE,0.75,-0.2,UNCONFIRMED,92,92,30.434782608695656,0.004131291073157336,-0.403722470734822,1.0382499696011662
KOREAN_V20,KOSDAQ150,15:00,INVERSE,1.0,-0.75,UNCONFIRMED,92,92,35.869565217391305,-0.05346249834788303,-0.4614374747651681,0.6924889081533447
KOREAN_V20,KOSDAQ150,15:00,INVERSE,1.0,-0.5,UNCONFIRMED,92,92,35.869565217391305,-0.03870449519355166,-0.44664767404110295,0.7567246938605854
KOREAN_V20,KOSDAQ150,15:00,INVERSE,1.0,-0.3,UNCONFIRMED,92,92,34.78260869565217,-0.01705857888166916,-0.42495233230444684,0.8652369595390297
KOREAN_V20,KOSDAQ150,15:00,INVERSE,1.0,-0.2,UNCONFIRMED,92,92,29.347826086956523,-0.016553971339980378,-0.4244499046613637,0.8497574001259423
KOREAN_V20,KOSDAQ150,15:00,LONG,0.3,-0.75,UNCONFIRMED,80,80,60.0,0.015095194043664162,-0.04659585455565914,1.1365916332420902
KOREAN_V20,KOSDAQ150,15:00,LONG,0.3,-0.5,UNCONFIRMED,80,80,57.49999999999999,0.008100364973661345,-0.053593324007168285,1.0710343715292248
KOREAN_V20,KOSDAQ150,15:00,LONG,0.3,-0.3,UNCONFIRMED,80,80,52.5,0.0029433670952039304,-0.058752891517156104,1.0282496055084647
KOREAN_V20,KOSDAQ150,15:00,LONG,0.3,-0.2,UNCONFIRMED,80,80,50.0,0.016994004284194425,-0.044698344536853465,1.205636968376971
KOREAN_V20,KOSDAQ150,15:00,LONG,0.5,-0.75,UNCONFIRMED,80,80,58.75,0.03006039488717971,-0.03162546791307212,1.2720069991591432
KOREAN_V20,KOSDAQ150,15:00,LONG,0.5,-0.5,UNCONFIRMED,80,80,56.25,0.023065565817176892,-0.03862293736458128,1.2022684134747756
