decision_id,trade_date,index_family,rule_family,entry_time_variant,decision,reason,direction,morning_return_pct,cumulative_return_pct
2025-09-12|KOSPI200|ORIGINAL|15:00,2025-09-12,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.9574586249028183,
2025-09-12|KOSDAQ150|KOREAN_V20|14:30,2025-09-12,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,LONG,0.6464124111182912,1.2569130216188995
2025-09-12|KOSDAQ150|KOREAN_V20|14:50,2025-09-12,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,LONG,0.6464124111182912,1.2928248222365823
2025-09-12|KOSDAQ150|KOREAN_V20|15:00,2025-09-12,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,LONG,0.6464124111182912,1.3071895424836555
2025-09-12|KOSDAQ150|ORIGINAL|15:00,2025-09-12,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,1.4112027789839443,
2025-09-15|KOSPI200|KOREAN_V20|14:30,2025-09-15,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.010796337882190699,-0.15978580065642012
2025-09-15|KOSPI200|KOREAN_V20|14:50,2025-09-15,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.010796337882190699,-0.17058213853861082
2025-09-15|KOSPI200|KOREAN_V20|15:00,2025-09-15,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.010796337882190699,-0.13819312489203872
2025-09-15|KOSPI200|ORIGINAL|15:00,2025-09-15,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.8295954361363878,
2025-09-15|KOSDAQ150|KOREAN_V20|14:30,2025-09-15,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.10587238848108749,-0.14116318464144628
2025-09-15|KOSDAQ150|KOREAN_V20|14:50,2025-09-15,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.10587238848108749,-0.10587238848108749
2025-09-15|KOSDAQ150|KOREAN_V20|15:00,2025-09-15,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.10587238848108749,-0.07058159232071759
2025-09-15|KOSDAQ150|ORIGINAL|15:00,2025-09-15,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.46138557637704913,
2025-09-16|KOSPI200|KOREAN_V20|14:30,2025-09-16,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,0.5356718577877562,1.5184569194548247
2025-09-16|KOSPI200|KOREAN_V20|14:50,2025-09-16,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,0.5356718577877562,1.5400565911398045
2025-09-16|KOSPI200|KOREAN_V20|15:00,2025-09-16,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,LONG,0.5356718577877562,1.5508564269823166
2025-09-16|KOSPI200|ORIGINAL|15:00,2025-09-16,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.7511147668730178,
2025-09-16|KOSDAQ150|KOREAN_V20|14:30,2025-09-16,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.17639173075566505,0.0
2025-09-16|KOSDAQ150|KOREAN_V20|14:50,2025-09-16,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.17639173075566505,-0.07055669230225936
2025-09-16|KOSDAQ150|KOREAN_V20|15:00,2025-09-16,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.17639173075566505,-0.03527834615113523
