datetime,message
2026-08-31 08:01:39,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:39,KOSDAQ KA10027 39종목
2026-08-31 08:01:39,사전필터 통과 1종목
2026-08-31 08:01:39,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:39,KOSPI KA10032 100종목
2026-08-31 08:01:40,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:40,KOSDAQ KA10032 100종목
2026-08-31 08:01:40,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:01:40,거래대금 200억+ 통과 0종목
2026-08-31 08:01:40,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:01:40,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:01:40,===== 시장 스캔 종료 / 5.0초 =====
2026-08-31 08:01:51,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:51.838 =====
2026-08-31 08:01:52,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:52,KOSPI KA10027 47종목
2026-08-31 08:01:53,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:53,KOSDAQ KA10027 34종목
2026-08-31 08:01:53,사전필터 통과 1종목
2026-08-31 08:01:53,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:53,KOSPI KA10032 100종목
2026-08-31 08:01:54,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:54,KOSDAQ KA10032 100종목
2026-08-31 08:01:54,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:01:54,거래대금 200억+ 통과 0종목
2026-08-31 08:01:54,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:01:54,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:01:54,===== 시장 스캔 종료 / 2.7초 =====
2026-08-31 08:02:07,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:02:07,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:02:07.560 =====
2026-08-31 08:02:08,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:02:08,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:08,KOSPI KA10027 52종목
2026-08-31 08:02:09,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:09,KOSDAQ KA10027 33종목
2026-08-31 08:02:09,사전필터 통과 1종목
2026-08-31 08:02:10,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:10,KOSPI KA10032 100종목
2026-08-31 08:02:11,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:11,KOSDAQ KA10032 100종목
2026-08-31 08:02:11,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:02:11,거래대금 200억+ 통과 0종목
2026-08-31 08:02:11,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:02:11,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:02:11,===== 시장 스캔 종료 / 3.9초 =====
2026-08-31 08:02:23,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:02:23.479 =====
2026-08-31 08:02:24,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:24,KOSPI KA10027 57종목
2026-08-31 08:02:24,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:24,KOSDAQ KA10027 38종목
2026-08-31 08:02:24,사전필터 통과 1종목
2026-08-31 08:02:25,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:25,KOSPI KA10032 100종목
2026-08-31 08:02:25,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:25,KOSDAQ KA10032 100종목
2026-08-31 08:02:25,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:02:25,거래대금 200억+ 통과 0종목
2026-08-31 08:02:25,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:02:25,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:02:25,===== 시장 스캔 종료 / 2.5초 =====
2026-08-31 08:02:37,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:02:38,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:02:38,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:02:38.978 =====
2026-08-31 08:02:39,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:39,KOSPI KA10027 61종목
2026-08-31 08:02:40,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:40,KOSDAQ KA10027 40종목
2026-08-31 08:02:40,사전필터 통과 1종목
2026-08-31 08:02:41,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:41,KOSPI KA10032 100종목
2026-08-31 08:02:41,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:41,KOSDAQ KA10032 100종목
2026-08-31 08:02:41,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:02:41,거래대금 200억+ 통과 0종목
2026-08-31 08:02:41,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:02:41,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:02:41,===== 시장 스캔 종료 / 2.9초 =====
2026-08-31 08:02:54,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:02:54.838 =====
2026-08-31 08:02:55,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:55,KOSPI KA10027 62종목
2026-08-31 08:02:56,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:02:56,KOSDAQ KA10027 41종목
2026-08-31 08:02:56,사전필터 통과 1종목
2026-08-31 08:02:56,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:56,KOSPI KA10032 100종목
2026-08-31 08:02:57,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:02:57,KOSDAQ KA10032 100종목
2026-08-31 08:02:57,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:02:57,거래대금 200억+ 통과 0종목
2026-08-31 08:02:57,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:02:57,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:02:57,===== 시장 스캔 종료 / 2.6초 =====
2026-08-31 08:03:07,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:03:08,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:03:10,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:03:10.457 =====
2026-08-31 08:03:11,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:03:11,KOSPI KA10027 64종목
2026-08-31 08:03:11,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:03:11,KOSDAQ KA10027 39종목
2026-08-31 08:03:11,사전필터 통과 1종목
2026-08-31 08:03:12,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:03:12,KOSPI KA10032 100종목
2026-08-31 08:03:13,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:03:13,KOSDAQ KA10032 100종목
2026-08-31 08:03:13,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:03:13,거래대금 200억+ 통과 0종목
2026-08-31 08:03:13,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:03:13,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:03:13,===== 시장 스캔 종료 / 2.9초 =====
2026-08-31 08:03:26,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:03:26.339 =====
2026-08-31 08:03:26,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:03:26,KOSPI KA10027 62종목
2026-08-31 08:03:27,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:03:27,KOSDAQ KA10027 40종목
2026-08-31 08:03:27,사전필터 통과 1종목
2026-08-31 08:03:28,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:03:28,KOSPI KA10032 100종목
2026-08-31 08:03:29,[DEBUG] 응답 LIST KEY = trde_prica_upper
