datetime,version,index_family,provider,stock_code,direction,snapshot_label,last,bid,ask,spread_pct,inav,data_age_ms,cost_model_version
2026-09-16 14:30:16.350,v2.1.2,KOSPI200,TIGER,102110,LONG,14:30,105975.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSPI200,ACE,105190,LONG,14:30,105990.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSPI200,KODEX,114800,INVERSE,14:30,1037.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSDAQ150,KODEX,229200,LONG,14:30,13645.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSDAQ150,TIGER,232080,LONG,14:30,13900.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSDAQ150,ACE,354500,LONG,14:30,13780.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,14:30,2480.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSPI200,KODEX,069500,LONG,14:50,105895.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSPI200,TIGER,102110,LONG,14:50,106135.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSPI200,ACE,105190,LONG,14:50,106125.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSPI200,KODEX,114800,INVERSE,14:50,1035.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSDAQ150,KODEX,229200,LONG,14:50,13685.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSDAQ150,TIGER,232080,LONG,14:50,13940.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSDAQ150,ACE,354500,LONG,14:50,13825.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:50:08.781,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,14:50,2475.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSPI200,KODEX,069500,LONG,15:00,105800.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSPI200,TIGER,102110,LONG,15:00,106050.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSPI200,ACE,105190,LONG,15:00,106070.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSPI200,KODEX,114800,INVERSE,15:00,1035.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSDAQ150,KODEX,229200,LONG,15:00,13700.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSDAQ150,TIGER,232080,LONG,15:00,13955.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSDAQ150,ACE,354500,LONG,15:00,13850.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:00:17.289,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,15:00,2470.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSPI200,KODEX,069500,LONG,TIME_EXIT,106330.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSPI200,TIGER,102110,LONG,TIME_EXIT,106585.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSPI200,ACE,105190,LONG,TIME_EXIT,106490.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSPI200,KODEX,114800,INVERSE,TIME_EXIT,1031.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSDAQ150,KODEX,229200,LONG,TIME_EXIT,13730.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSDAQ150,TIGER,232080,LONG,TIME_EXIT,13990.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSDAQ150,ACE,354500,LONG,TIME_EXIT,13835.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 15:20:09.067,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,TIME_EXIT,2462.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-17 09:00:22.316,v2.1.2,KOSPI200,KODEX,069500,LONG,OPEN,106365.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-17 09:00:22.316,v2.1.2,KOSPI200,TIGER,102110,LONG,OPEN,107540.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
